id,R,F,M,r_grade,f_grade,m_grade
125329703@n,76,1,32400.0,3,1,1
125411188@n,160,1,16300.0,2,1,1
125502927@n,68,2,43100.0,3,2,1
125531423@n,61,1,32400.0,3,1,1
12562081@n,49,1,16900.0,3,1,1
125630286@n,204,1,32113.0,1,1,1
12566014@n,205,1,114000.0,1,1,3
12566428@n,60,1,59370.0,3,1,2
12567529@n,64,1,49400.0,3,1,1
125799406@n,17,1,13900.0,4,1,1
12627679@n,154,1,40900.0,2,1,1
12628260@n,118,1,37000.0,2,1,1
126400585@n,85,1,37900.0,3,1,1
12643408@n,68,2,28400.0,3,2,1
126445622@n,76,1,33300.0,3,1,1
12648576@n,61,1,14700.0,3,1,1
12661846@n,178,1,52700.0,1,1,2
126798430@n,84,1,16400.0,3,1,1
126865340@n,107,2,28800.0,2,2,1
12689520@n,79,2,77660.0,3,2,2
12705259@n,141,1,86800.0,2,1,2
12713859@n,92,1,40900.0,3,1,1
127183624@n,134,1,15900.0,2,1,1
127230816@n,192,1,37334.0,1,1,1
12724702@n,199,1,40900.0,1,1,1
127258645@n,208,1,34200.0,1,1,1
127260993@n,48,2,104700.0,3,2,3
127284223@n,146,1,48800.0,2,1,1
127307467@n,146,1,16900.0,2,1,1
12748594@n,180,1,206600.0,1,1,3
127492540@n,66,1,32400.0,3,1,1
12762673@n,70,2,101620.0,3,2,2
127732071@n,55,1,38800.0,3,1,1
127760245@n,40,3,87400.0,4,3,2
127853862@n,59,1,15338.0,3,1,1
12787544@n,66,1,15500.0,3,1,1
12801917@n,64,1,33400.0,3,1,1
12812256@n,67,1,32400.0,3,1,1
128178833@n,160,1,82900.0,2,1,2
128199981@n,59,1,15500.0,3,1,1
1282365@n,66,1,33500.0,3,1,1
128237047@n,85,1,40900.0,3,1,1
128360612@n,91,1,14900.0,3,1,1
128510015@n,135,1,98000.0,2,1,2
128577512@n,59,1,32400.0,3,1,1
128579950@n,27,1,72800.0,4,1,2
12862970@n,11,2,77746.0,4,2,2
12872360@n,199,1,137500.0,1,1,3
129153686@n,22,1,40500.0,4,1,1
1291596@n,108,1,10700.0,2,1,1
12924511@n,135,2,64669.0,2,2,2
12944663@n,26,2,86700.0,4,2,2
129503690@n,177,1,40900.0,1,1,1
1296182595@g,37,1,36900.0,4,1,1
12977653@n,68,1,32400.0,3,1,1
12978463@n,87,1,17900.0,3,1,1
12979359@n,9,1,44800.0,4,1,1
129930444@n,8,2,68800.0,4,2,2
129931348@n,36,1,25500.0,4,1,1
130228836@n,195,1,40900.0,1,1,1
13036152@n,7,1,35900.0,4,1,1
130403324@n,75,1,22600.0,3,1,1
130426517@n,198,1,14500.0,1,1,1
130492675@n,13,1,87100.0,4,1,2
130506962@n,65,1,16500.0,3,1,1
1306241323@g,2,1,29900.0,4,1,1
13067452@n,143,1,38800.0,2,1,1
13070093@n,99,2,57800.0,3,2,2
13079960@n,121,1,15900.0,2,1,1
13089176@n,61,1,80655.0,3,1,2
130981262@n,127,1,34700.0,2,1,1
131000296@n,135,1,37900.0,2,1,1
13104793@n,204,1,73400.0,1,1,2
131089228@n,171,1,28900.0,1,1,1
13112082@n,38,1,33800.0,4,1,1
13115229@n,20,1,36900.0,4,1,1
13116551@n,206,1,115000.0,1,1,3
131174876@n,42,2,82800.0,4,2,2
131219623@n,47,2,58800.0,3,2,2
13139466@n,105,1,12900.0,2,1,1
13148804@n,158,1,31289.0,2,1,1
131517427@n,56,1,136295.0,3,1,3
131615094@n,55,1,16900.0,3,1,1
131664504@n,64,2,70900.0,3,2,2
131666095@n,65,1,40700.0,3,1,1
13177466@n,57,1,30768.0,3,1,1
131794781@n,112,1,36000.0,2,1,1
13180461@n,189,1,29300.0,1,1,1
131818207@n,18,1,148000.0,4,1,3
131819295@n,118,1,10700.0,2,1,1
13206909@n,71,1,58100.0,3,1,2
1320859@n,149,1,40900.0,2,1,1
132129579@n,134,1,38900.0,2,1,1
13215815@n,155,1,16900.0,2,1,1
132273001@n,23,1,9900.0,4,1,1
13228333@n,23,2,75400.0,4,2,2
13231940@n,85,1,30900.0,3,1,1
13249153@n,119,1,24800.0,2,1,1
132512490@n,94,1,12900.0,3,1,1
132571693@n,185,1,40900.0,1,1,1
132582498@n,124,1,92600.0,2,1,2
13258611@n,51,1,14900.0,3,1,1
132637475@n,73,1,32400.0,3,1,1
13264260@n,142,1,39739.0,2,1,1
132658364@n,117,1,35815.0,2,1,1
13268630@n,114,1,50800.0,2,1,1
132763414@n,125,1,31900.0,2,1,1
132779479@n,215,1,17100.0,1,1,1
