shop_no,product_no,product_code,custom_product_code,product_name,eng_product_name,supply_product_name,internal_product_name,model_name,price_excluding_tax,price,retail_price,supply_price,display,selling,summary_description,adult_certification,made_in_code,product_weight,product_material,created_date,updated_date,sold_out,additional_price,shipping_fee_by_product,shipping_fee_type
1,243,P00000JJ,O_A_SET_001,러버 세트(LOVER SET),,,러버 세트(LOVER SET),,52909.00,58200.00,78600.00,0.00,T,T,특별한 밤을 위한 콘돔&젤 세트,F,KR,1.00,,22-07-14 16:34:53,23-03-06 16:16:10,F,0.00,F,M
1,242,P00000JI,O_SL_S_100_1,MD루브 실리콘(100ml),,,MD루브 실리콘(100ml),,27182.00,29900.00,30900.00,0.00,T,T,"의료기기 인증, 오래 가는 윤활",F,KR,1.00,,22-07-14 16:34:53,23-02-13 09:59:46,F,0.00,F,M
1,241,P00000JH,O_MSP_*_LN20_5,유기농 순면커버 롱라이너 5팩(100개입),,,순면커버 롱라이너 5팩(100개입),,23500.00,23500.00,29500.00,0.00,T,T,"데일리 케어도 편안하게, 롱라이너 안심팩",F,KR,1.00,,22-07-14 16:34:53,23-02-13 09:59:26,F,0.00,F,M
1,240,P00000JG,O_MSP_*_LN20_10,유기농 순면커버 롱라이너 10팩(200개입),,,순면커버 롱라이너 10팩(200개입),,38500.00,38500.00,59000.00,0.00,T,T,"데일리 케어, 롱라이너 대용량 할인세트",F,KR,1.00,,22-07-14 16:34:53,23-02-13 09:59:15,F,0.00,F,M
1,239,P00000JF,O_MSP_*_LN20_1,유기농 순면커버 롱라이너(20개입),,,순면커버 롱라이너(20개입),,5400.00,5400.00,5900.00,0.00,T,T,"매일 쓰는 라이너, OCS인증 유기농으로 안심",F,KR,1.00,,22-07-14 16:34:53,23-02-13 09:58:59,F,0.00,F,M
1,186,P00000HE,,리얼003&핑거돔®팩,,,,,48727.00,53600.00,60100.00,0.00,F,F,초박형&손가락콘돔 할인중!,F,KR,1.00,,21-11-30 11:51:04,22-05-31 17:40:32,T,0.00,F,M
1,185,P00000HD,,이브 패밀리 빅세일,,,,,2636.00,2900.00,6600.00,0.00,F,F,2021 이브 임직원 전용 패밀리 빅세일,F,KR,1.00,,21-11-30 11:09:51,22-01-14 12:20:18,T,0.00,F,M
1,183,P00000HB,,[30%] 핑거돔® 트리플팩,,,,,26818.00,29500.00,41700.00,0.00,F,F,핑거돔 3박스 2주간 30% 할인!,F,KR,1.00,,21-11-29 18:07:00,22-05-31 17:45:56,T,0.00,F,M
1,181,P00000GZ,,리얼003&라지 SET,,,,,35364.00,38900.00,44700.00,33500.00,F,T,"베스트셀러 할인, 더 편한데 얇기까지!",F,KR,1.00,"천연 라텍스, 실리콘오일",21-10-26 10:21:25,22-05-31 17:17:13,F,0.00,F,M
1,178,P00000GW,,휴대용 울트라씬3p,,,(사은품) 울씬3p,,0.00,0.00,0.00,0.00,F,T,,F,KR,1.00,,21-09-10 14:43:36,21-12-07 19:23:33,F,0.00,F,M
1,177,P00000GV,,이브컵 1+1 (카톡 쇼핑하기),,,,,67000.00,73700.00,0.00,73700.00,F,F,,F,KR,1.00,,21-08-30 22:27:40,21-08-30 22:28:15,T,0.00,F,M
1,176,P00000GU,,이브젤 휴대용 세트(카톡 쇼핑하기),,,,,8091.00,8900.00,0.00,8900.00,F,F,카카오 쇼핑하기용,F,KR,1.00,,21-08-30 17:14:37,21-08-30 17:48:26,T,0.00,F,M
1,175,P00000GT,,유기농 이브젤 2개 세트(카톡 쇼핑하기),,,,,52545.00,57800.00,57800.00,57800.00,T,F,카카오 쇼핑하기용,F,KR,1.00,,21-08-30 17:09:04,22-05-09 15:38:46,T,0.00,F,M
1,174,P00000GS,,이브 라지(카톡 쇼핑하기),,,,,12636.00,13900.00,13900.00,13900.00,F,F,,F,KR,1.00,,21-08-30 17:00:00,21-08-30 17:48:08,T,0.00,F,M
