keyword,ctr,clkCnt,viewCnt,cpc,ccnt,avgRnk,id,impCnt,salesAmt
비건여성청결제,0,0,0,0,0,4,nkw-a001-01-000004889066769,1,0
세균성질염청결제,0,0,0,0,0,1,nkw-a001-01-000004889131663,1,0
질세정제,0,0,0,0,0,88,nkw-a001-01-000004889131671,3,0
칸디다질염세정제,0,0,0,0,0,1,nkw-a001-01-000004889169772,8,0
칸디다질염청결제,0,0,0,0,0,1,nkw-a001-01-000004889169773,3,0
Y존케어,0,0,0,0,0,117,nkw-a001-01-000004889169776,1,0
인스팅터스,0.21,2,0,143,0,1,nkw-a001-01-000004817577991,970,286
의료기기윤활제,0,0,0,0,0,1,nkw-a001-01-000004817577995,6,0
개인용윤활제,4,2,0,77,0,1,nkw-a001-01-000004817577996,50,154
의료용윤활제,0,0,0,0,0,1.7,nkw-a001-01-000004817577997,151,0
러브젤OEM,22.23,2,0,77,0,1,nkw-a001-01-000004818037037,9,154
윤활제OEM,0,0,0,0,0,1,nkw-a001-01-000004818037039,1,0
마사지젤OEM,0,0,0,0,0,1,nkw-a001-01-000004818037043,1,0
젤OEM,0,0,0,0,0,1,nkw-a001-01-000004818037046,2,0
화장품OEM,1.44,2,0,1491,0,13.9,nkw-a001-01-000004818037048,139,2981
의료기기OEM,9.1,4,0,99,0,1.2,nkw-a001-01-000004818037050,44,396
인스팅터스OEM,0,0,0,0,0,1,nkw-a001-01-000004818037052,2,0
이브젤OEM,0,0,0,0,0,1,nkw-a001-01-000004818037054,1,0
화장품ODM,0,0,0,0,0,10.4,nkw-a001-01-000004818053073,110,0
의료기기ODM,0,0,0,0,0,1,nkw-a001-01-000004818053074,11,0
젤개발,0,0,0,0,0,1,nkw-a001-01-000004818066049,3,0
화장품개발,0,0,0,0,0,6.6,nkw-a001-01-000004818066050,124,0
의료기기개발,0.31,2,0,2030,0,1.3,nkw-a001-01-000004818066051,651,4059
마사지젤생산,0,0,0,0,0,1,nkw-a001-01-000004818069679,1,0
젤생산,0,0,0,0,0,1,nkw-a001-01-000004818069681,2,0
화장품생산,0.72,4,0,1573,0,2.7,nkw-a001-01-000004818069683,561,6292
의료기기생산,0.32,2,0,193,0,1,nkw-a001-01-000004818069686,640,385
러브젤제조,12.5,1,0,77,0,1,nkw-a001-01-000004818074602,8,77
윤활제제조,0,0,0,0,0,1,nkw-a001-01-000004818074606,3,0
마사지젤제조,12.5,1,0,77,0,1,nkw-a001-01-000004818074613,8,77
젤제조,0,0,0,0,0,1,nkw-a001-01-000004818074616,3,0
화장품제조,0.09,2,0,1469,0,2.3,nkw-a001-01-000004818074619,2356,2937
의료기기제조,0.77,2,0,1535,0,3.3,nkw-a001-01-000004818074622,261,3069
화장품기술,0,0,0,0,0,1,nkw-a001-01-000004818079582,29,0
의료기기기술,0,0,0,0,0,1,nkw-a001-01-000004818079584,158,0
젤허가,100,1,0,77,0,1,nkw-a001-01-000004818085390,1,77
화장품허가,0,0,0,0,0,4.3,nkw-a001-01-000004818085394,43,0
의료기기허가,0,0,0,0,0,11.6,nkw-a001-01-000004818085398,468,0
화장품의뢰,0,0,0,0,0,1,nkw-a001-01-000004818093378,6,0
러브젤연구,0,0,0,0,0,1,nkw-a001-01-000004818096981,1,0
화장품연구,0.04,4,0,743,0,1,nkw-a001-01-000004818096986,11811,2970
의료기기연구,0.22,1,0,77,0,1,nkw-a001-01-000004818096987,463,77
이브젤,23.06,524,0,0,85,1,nkw-a001-04-000004756530712,2273,0
이브언센티드,25,3,0,0,1,1,nkw-a001-04-000004756530715,12,0
이브피팬티,24.3,26,0,0,2,1,nkw-a001-04-000004756530721,107,0
이브생리팬티,31.25,5,0,0,0,1,nkw-a001-04-000004756530725,16,0
이브컵,27.18,212,0,0,32,1,nkw-a001-04-000004756530726,780,0
이브생리컵,33.71,30,0,0,7,1,nkw-a001-04-000004756530727,89,0
이브생리대,35.3,6,0,0,1,1,nkw-a001-04-000004756530729,17,0
체레미마카,40.23,1883,0,0,265,1,nkw-a001-04-000004756530730,4681,0
EVE젤,24.36,38,0,0,6,1,nkw-a001-04-000004758776956,156,0
체레미마카생리대,37.5,3,0,0,0,1,nkw-a001-04-000004758777425,8,0
체레미마카생리팬티,0,0,0,0,0,1,nkw-a001-04-000004766450087,7,0
채래미마카,50,2,0,0,0,1,nkw-a001-04-000004766454117,4,0
이브젤휴대용,25,1,0,0,0,1,nkw-a001-04-000004771122477,4,0
이브젤무향,0,0,0,0,0,1,nkw-a001-04-000004777840426,7,0
이브젤리뉴얼,0,0,0,0,0,1,nkw-a001-04-000004777840668,1,0
체리미미카,85.72,6,0,0,0,1,nkw-a001-04-000004777847994,7,0
